rating,helpfulness,hair_color,brand_name,price_usd,review_length
5,0.7368419766426086,blonde,Algenist,85.0,216
5,0.9583330154418944,brown,Algenist,70.0,283
4,,gray,Algenist,58.0,61
5,,black,Algenist,58.0,84
5,0.1111110001802444,blonde,Algenist,38.0,133
4,0.8888890147209167,black,Algenist,85.0,517
5,0.7777780294418335,,Algenist,72.0,1123
1,0.8181819915771484,blonde,Algenist,38.0,116
5,0.8684210181236267,blonde,Algenist,96.0,791
4,0.800000011920929,brown,Algenist,25.0,129
4,0.7777780294418335,black,Algenist,58.0,257
4,0.857142984867096,brown,Algenist,98.0,107
4,1.0,blonde,Algenist,58.0,115
4,1.0,brown,Algenist,85.0,751
2,0.6666669845581055,,Algenist,74.0,172
1,0.5,,Algenist,74.0,279
5,1.0,brown,Algenist,40.0,117
